priority_tier,account_name,website,segment,recommended_offer,annual_value_usd,why_fit,buyer_titles,first_message_angle
P1,Walden Security,https://waldensecurity.com,Security Guarding,Managed Retainer,72000,"Multi-site guarding provider with complex bid workflows","VP Sales; SVP Sales; Proposal Manager; COO","Speed up RFP digest + compliance matrix turnaround for active bids"
P1,Sunstates Security,https://www.sunstatessecurity.com,Security Guarding,Managed Retainer,72000,"Large regional footprint and recurring enterprise pursuits","VP Sales; Chief Growth Officer; Capture Lead","Reduce cycle time from intake to decision-ready summary"
P1,Andy Frain Services,https://andyfrain.com,Security/Event Services,Managed Retainer,72000,"Mixed service lines and frequent proposal complexity","VP Business Development; Sales Director; Operations Executive","Create a repeatable digest process across mixed-service RFPs"
P1,Brosnan Risk Consultants,https://brosnanrisk.com,Security Guarding,Managed Retainer,72000,"Fast-growth posture likely creates bid throughput pressure","Chief Revenue Officer; VP Sales; Proposal Lead","Bring consistency and risk visibility to high-volume pursuits"
P1,Titan Security Group,https://titan-security.com,Security Guarding,Managed Retainer,72000,"Regional enterprise accounts with recurring rebid exposure","VP Sales; Director of Business Development","Support multi-site rebids with tighter requirement tracking"
P1,Marksman Security Corporation,https://marksmansecurity.com,Security Guarding,Managed Retainer,72000,"Scale plus distributed operations create coordination drag","VP Sales; COO; Proposal Operations","Unify RFP requirements and cross-functional review workflow"
P1,Admiral Security Services,https://admiralsecurity.com,Security Guarding,Managed Retainer,72000,"Federal/commercial mix implies compliance-heavy responses","VP Business Development; Capture Manager; Legal Ops","Improve compliance mapping and amendment tracking"
P1,Harvard Protection Services,https://harvardprotect.com,Security Guarding,Managed Retainer,72000,"High-service environment where response quality matters","VP Sales; Regional Sales Director","Increase response quality while reducing manual analyst burden"
P1,Arrow Security,https://arrowsecurity.net,Security Guarding,Managed Retainer,72000,"Regional operator with likely frequent competitive bids","VP Sales; Director of Strategic Accounts","Operationalize faster digest-to-action for decision teams"
P1,Doyle Security Services,https://www.doylesecurity.com,Security Guarding,Managed Retainer,72000,"Established guarding + technology blend can increase RFP complexity","VP Sales; Business Development Director","Turn complex technical requirements into clear action matrices"
P1,American Security and Investigations,https://www.americansecurityllc.com,Security Guarding,Managed Retainer,72000,"National scope with distributed account teams","SVP Sales; VP Business Development; Proposal Manager","Standardize intake and reduce handoff friction across teams"
P1,Security USA,https://securityusainc.com,Security Guarding,Managed Retainer,72000,"Guarding provider with regional account-growth needs","VP Sales; Director of Sales Operations","Support quicker go/no-go and cleaner response strategy"
P2,Signal of New England,https://www.teamnewengland.com,Security Guarding,Managed Retainer,72000,"Regional platform with growth focus and account density","Regional VP; VP Sales; Franchise/Area Leadership","Build a reliable digest layer for high-velocity opportunities"
P2,EPIC Security Works,https://epicsecurityworks.com,Security Guarding,Managed Retainer,72000,"Corporate/security hybrid opportunities require structured analysis","VP Business Development; Sales Leadership","De-risk complex scope interpretation in mixed-site RFPs"
P2,Pritchard Industries,https://www.pritchardindustries.com,Janitorial/Facilities,Managed Retainer,72000,"Integrated services and large sites increase response workload","VP Sales; SVP Operations; Proposal Lead","Deliver faster cross-service requirement mapping"
