ID,Task,Owner,Due Date,Definition of Done
1,Finalize operating agreement under The Editry Collective,Ashley,2025-11-08,Signed and stored in company drive
2,Conduct call with Aleks (security firm owner),All / Marlon lead,2025-11-04,Debrief summary & checklist created
3,"Identify GA licensing requirements (company, manager, armed/unarmed guard)",Marlon,2025-11-10,"Documented steps, forms, and fees"
4,Build 20-line grant pipeline spreadsheet (veteran/minority/small-biz grants),Marlon,2025-11-15,"Spreadsheet completed with Name, Link, Deadline, Amount"
5,Register Editry Shield DBA / subsidiary filing (if required),Ashley,2025-11-18,Confirmation of registration under EIN
6,"Obtain initial business insurance quotes (GL, workers’ comp, auto)",Marlon,2025-11-22,3 comparable quotes documented
7,Define budget categories and create startup budget sheet,Paris + Ashley,2025-11-25,Budget baseline reviewed & approved
8,Select accountant/bookkeeper for startup support,Ashley,2025-11-27,Confirmed resource or platform (Gusto/QuickBooks/etc.)
9,Finalize logo lockup & color palette (Editry Shield visual identity),Paris,2025-12-02,Approved vector assets uploaded
10,Develop landing page (/shield) with service overview & CTA,Paris + Ashley,2025-12-09,"Page live, tested on desktop + mobile"
11,"Create social media accounts (LinkedIn, Instagram, Facebook)",Paris,2025-12-09,"Profiles branded, bios aligned"
12,Write & publish Shield intro post + soft-launch announcement,Paris,2025-12-12,Live across all channels
13,Build one-pager + rate card + digital brochure,Paris,2025-12-16,Shareable PDF assets complete
14,Configure HubSpot pipeline for Shield leads,Ashley,2025-12-18,"Lead form active, routing tested"
15,Shortlist and demo 2–3 guard management software options,Marlon,2025-12-20,Decision memo with recommendation
16,Secure first partnership or referral contact,Marlon,2025-12-23,One qualified lead or referral call booked
17,Submit all GA security licensing applications,Marlon,2026-01-03,Confirmation of submission
18,Purchase insurance + surety bond (pending license approval),Ashley,2026-01-06,Certificates on file
19,Secure minimal office lease or shared workspace,Ashley,2026-01-10,Signed lease or workspace agreement
20,Procure uniforms + ID badges (final branding),Marlon,2026-01-15,"Vendor selected, samples ordered"
21,"Launch internal ops handbook (SOPs for scheduling, payroll, incident reporting)",Ashley,2026-01-20,SOP doc version 1 published
22,Conduct soft-launch campaign — outreach to 10 prospects via email/social,Paris,2026-01-24,10 outreach logs with follow-ups
23,"Apply for at least 3 grants or microloans (SBA, VA, Citi, etc.)",Marlon,2026-01-27,Submitted with confirmation emails
24,"Review KPIs: cost baseline, leads, grant status, licensing progress",All,2026-01-31,Summary report + go/no-go for Q2 expansion
